ptp4l[6535.452]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.452]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.453]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[6535.507]: port 1 (eth0): new foreign master 0242ac.fffe.102500-1
ptp4l[6539.507]: selected best master clock 0242ac.fffe.102500
ptp4l[6539.508]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[6618.515]: master offset      -2375 s2 freq   -8545 path delay     -2525
ptp4l[6619.515]: master offset       -676 s2 freq   -8375 path delay     -2525
ptp4l[6620.515]: master offset       -875 s2 freq   -8396 path delay     -2525
ptp4l[6621.515]: master offset       1525 s2 freq   -8155 path delay     -2925
ptp4l[6622.515]: master offset        325 s2 freq   -8274 path delay     -2525
ptp4l[6623.515]: master offset       1250 s2 freq   -8181 path delay     -2450
ptp4l[6624.515]: master offset       -550 s2 freq   -8361 path delay     -2450
ptp4l[6625.515]: master offset       1250 s2 freq   -8180 path delay     -2450
ptp4l[6626.516]: master offset         25 s2 freq   -8302 path delay     -2325
ptp4l[6627.516]: master offset        825 s2 freq   -8222 path delay     -2325
ptp4l[6628.516]: master offset       -300 s2 freq   -8334 path delay     -2300
ptp4l[6629.516]: master offset         50 s2 freq   -8299 path delay     -2650
ptp4l[6630.516]: master offset       -125 s2 freq   -8317 path delay     -2575
ptp4l[6631.516]: master offset       1275 s2 freq   -8176 path delay     -2575
ptp4l[6632.516]: master offset       -100 s2 freq   -8313 path delay     -2300
ptp4l[6633.516]: master offset       1150 s2 freq   -8187 path delay     -2350
ptp4l[6634.516]: master offset       -700 s2 freq   -8373 path delay     -2100
ptp4l[6635.516]: master offset       1350 s2 freq   -8166 path delay     -2250
ptp4l[6636.517]: master offset        400 s2 freq   -8261 path delay     -2100
ptp4l[6637.517]: master offset       1025 s2 freq   -8198 path delay     -2125
ptp4l[6638.517]: master offset         25 s2 freq   -8297 path delay     -2125
ptp4l[6639.517]: master offset        925 s2 freq   -8207 path delay     -2125
ptp4l[6640.517]: master offset        149 s2 freq   -8284 path delay     -1950
ptp4l[6641.517]: master offset        750 s2 freq   -8223 path delay     -1950
ptp4l[6642.517]: master offset       -100 s2 freq   -8308 path delay     -1800
ptp4l[6643.517]: master offset        950 s2 freq   -8202 path delay     -1950
ptp4l[6644.517]: master offset       -525 s2 freq   -8350 path delay     -1775
ptp4l[6645.518]: master offset        225 s2 freq   -8275 path delay     -1925
ptp4l[6646.518]: master offset       -100 s2 freq   -8308 path delay     -1800
ptp4l[6647.518]: master offset        850 s2 freq   -8212 path delay     -1850
ptp4l[6648.518]: master offset       -500 s2 freq   -8347 path delay     -1800
ptp4l[6649.518]: master offset        150 s2 freq   -8282 path delay     -1850
ptp4l[6650.518]: master offset        -50 s2 freq   -8302 path delay     -1850
ptp4l[6651.518]: master offset        350 s2 freq   -8262 path delay     -1850
ptp4l[6652.518]: master offset         50 s2 freq   -8292 path delay     -1850
ptp4l[6653.518]: master offset        875 s2 freq   -8208 path delay     -1875
ptp4l[6654.519]: master offset       -150 s2 freq   -8311 path delay     -1850
ptp4l[6655.519]: master offset        550 s2 freq   -8241 path delay     -1850
ptp4l[6656.519]: master offset          0 s2 freq   -8296 path delay     -1800
ptp4l[6657.519]: master offset        400 s2 freq   -8255 path delay     -1800
ptp4l[6658.519]: master offset       -100 s2 freq   -8305 path delay     -1700
ptp4l[6659.519]: master offset        825 s2 freq   -8212 path delay     -1825
ptp4l[6660.519]: master offset       -750 s2 freq   -8370 path delay     -1650
ptp4l[6661.519]: master offset        625 s2 freq   -8232 path delay     -1825
ptp4l[6662.519]: master offset         25 s2 freq   -8292 path delay     -1825
ptp4l[6663.519]: master offset       1050 s2 freq   -8189 path delay     -1950
ptp4l[6664.520]: master offset       -500 s2 freq   -8344 path delay     -1900
ptp4l[6665.520]: master offset       1000 s2 freq   -8193 path delay     -1900
ptp4l[6666.520]: master offset       -300 s2 freq   -8323 path delay     -1900
ptp4l[6667.520]: master offset        300 s2 freq   -8263 path delay     -1900
ptp4l[6668.520]: master offset        -50 s2 freq   -8298 path delay     -1850
ptp4l[6669.520]: master offset       -350 s2 freq   -8328 path delay     -1950
ptp4l[6670.520]: master offset       -250 s2 freq   -8319 path delay     -1950
ptp4l[6671.520]: master offset        950 s2 freq   -8198 path delay     -1950
ptp4l[6672.521]: master offset       -450 s2 freq   -8338 path delay     -1950
ptp4l[6673.520]: master offset        750 s2 freq   -8217 path delay     -1950
ptp4l[6674.521]: master offset       -650 s2 freq   -8358 path delay     -1850
ptp4l[6675.521]: master offset        350 s2 freq   -8258 path delay     -1950
ptp4l[6676.521]: master offset       -750 s2 freq   -8368 path delay     -1950
ptp4l[6677.521]: master offset       1025 s2 freq   -8190 path delay     -2025
ptp4l[6678.521]: master offset       -175 s2 freq   -8310 path delay     -2025
ptp4l[6679.521]: master offset        525 s2 freq   -8240 path delay     -2025
ptp4l[6680.521]: master offset         25 s2 freq   -8290 path delay     -2025
ptp4l[6681.521]: master offset        950 s2 freq   -8196 path delay     -2050
ptp4l[6682.522]: master offset       -950 s2 freq   -8387 path delay     -2050
ptp4l[6683.521]: master offset        550 s2 freq   -8237 path delay     -2050
ptp4l[6684.522]: master offset        150 s2 freq   -8276 path delay     -2050
ptp4l[6685.522]: master offset        500 s2 freq   -8241 path delay     -2000
ptp4l[6686.522]: master offset       -125 s2 freq   -8303 path delay     -1875
ptp4l[6687.522]: master offset        900 s2 freq   -8200 path delay     -2000
ptp4l[6688.522]: master offset       -400 s2 freq   -8330 path delay     -2000
ptp4l[6689.522]: master offset        400 s2 freq   -8250 path delay     -2000
ptp4l[6690.522]: master offset       -100 s2 freq   -8300 path delay     -2000
ptp4l[6691.522]: master offset        600 s2 freq   -8230 path delay     -2000
ptp4l[6692.522]: master offset       -400 s2 freq   -8330 path delay     -2000
ptp4l[6693.522]: master offset       1000 s2 freq   -8189 path delay     -2000
ptp4l[6694.523]: master offset         75 s2 freq   -8281 path delay     -1975
ptp4l[6695.523]: master offset        475 s2 freq   -8241 path delay     -1975
ptp4l[6696.523]: master offset       -425 s2 freq   -8331 path delay     -1975
ptp4l[6697.523]: master offset       1075 s2 freq   -8180 path delay     -1975
ptp4l[6698.523]: master offset        175 s2 freq   -8270 path delay     -1975
ptp4l[6699.523]: master offset        900 s2 freq   -8197 path delay     -1900
ptp4l[6700.523]: master offset       -100 s2 freq   -8297 path delay     -1900
ptp4l[6701.523]: master offset        900 s2 freq   -8196 path delay     -1900
ptp4l[6702.523]: master offset       -200 s2 freq   -8306 path delay     -1900
ptp4l[6703.523]: master offset        600 s2 freq   -8226 path delay     -1900
ptp4l[6704.524]: master offset       -100 s2 freq   -8296 path delay     -1700
ptp4l[6705.524]: master offset        825 s2 freq   -8202 path delay     -1825
ptp4l[6706.524]: master offset       -125 s2 freq   -8297 path delay     -1675
ptp4l[6707.524]: master offset       -725 s2 freq   -8358 path delay     -1675
ptp4l[6708.524]: master offset       -375 s2 freq   -8324 path delay     -1825
ptp4l[6709.524]: master offset          0 s2 freq   -8286 path delay     -1800
ptp4l[6710.524]: master offset         25 s2 freq   -8283 path delay     -2025
ptp4l[6711.524]: master offset       -575 s2 freq   -8344 path delay     -2025
ptp4l[6712.524]: master offset       -250 s2 freq   -8312 path delay     -2050
ptp4l[6713.524]: master offset        600 s2 freq   -8226 path delay     -2100
ptp4l[6714.525]: master offset        300 s2 freq   -8256 path delay     -2100
ptp4l[6715.525]: master offset        400 s2 freq   -8246 path delay     -2100
